Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
25000,11/7/2007,JMDCorp,677,14.14%,325xx,FL,2 years,0
20000,11/7/2007,CNoalis,525,0%,346xx,FL,< 1 year,0
3500,11/7/2007,Mih Son,0,3.49%,244xx,VA,< 1 year,0
2500,11/7/2007,Clay,634,33.60%,354xx,AL,< 1 year,0
6000,11/7/2007,jnimako,497,13.20%,104xx,NY,< 1 year,0
20000,11/7/2007,swilson,569,42.35%,761xx,TX,4 years,0
19900,11/7/2007,FUTURE BILLONARE,525,2.68%,236xx,VA,3 years,0
5000,11/7/2007,simplicity74,435,18.79%,366xx,AL,3 years,0
25000,11/7/2007,MichaelFooshee,680,22.08%,752xx,TX,4 years,0
14000,11/7/2007,mattm868,668,13.98%,131xx,NY,2 years,0
2500,11/8/2007,Regina623,565,23.67%,850xx,AZ,1 year,0
5000,11/8/2007,Americanmade,570,0%,462xx,IN,1 year,0
2000,11/8/2007,"Moving to Iowa, need to pay off car loan",659,19.85%,549xx,WI,< 1 year,0
15000,11/8/2007,raven2116,447,45.12%,655xx,MO,10+ years,0
7000,11/8/2007,jlam1021,615,19.24%,871xx,NM,5 years,0
8000,11/8/2007,time4achange,625,31.92%,221xx,VA,< 1 year,0
5000,11/8/2007,lake area realtor,678,42.24%,656xx,MO,2 years,0
15000,11/8/2007,18807,497,2.66%,441xx,OH,< 1 year,0
1000,11/8/2007,alofton1613,643,21.28%,322xx,FL,< 1 year,0
5000,11/8/2007,GreeneSR,517,18.18%,633xx,MO,10+ years,0
20000,11/8/2007,hadi_sh11,617,27.20%,631xx,MO,2 years,0
15000,11/8/2007,brownie99,670,24.84%,774xx,TX,4 years,0
10000,11/8/2007,tony540i,516,5.36%,080xx,NJ,6 years,0
3000,11/8/2007,Determined,536,41.71%,363xx,AL,3 years,0
10000,11/8/2007,onlinepoet,671,45.05%,850xx,AZ,10+ years,0
18000,11/8/2007,bill p,489,5.97%,148xx,NY,7 years,0
500,11/8/2007,malik,0,0%,631xx,MO,< 1 year,0
25000,11/8/2007,COOPER,579,25.40%,856xx,AZ,1 year,0
25000,11/8/2007,personal loan ,671,20.09%,021xx,MA,9 years,0
10000,11/8/2007,mabelle5,665,30.65%,201xx,VA,1 year,0
25000,11/8/2007,strawberry,595,0%,766xx,TX,< 1 year,0
2500,11/8/2007,linlee,445,37.20%,634xx,MO,10+ years,0
4000,11/8/2007,kamand4kids,479,0.50%,272xx,NC,8 years,0
18000,11/8/2007,RN1975,458,0%,232xx,VA,< 1 year,0
3000,11/8/2007,JennAvery,487,0%,040xx,ME,< 1 year,0
20000,11/8/2007,Mr.H,639,20.88%,547xx,WI,2 years,0
4800,11/8/2007,lydacole,668,13.33%,226xx,VA,2 years,0
5000,11/8/2007,MrsGray01,562,43.65%,871xx,NM,< 1 year,0
2000,11/8/2007,af2686,556,14.63%,457xx,OH,6 years,0
15000,11/8/2007,LoisRyan,520,1.45%,139xx,NY,10+ years,0
5000,11/8/2007,faye,546,21.21%,210xx,MD,2 years,0
3000,11/8/2007,Virtouswoman,462,13.18%,302xx,GA,1 year,0
1500,11/8/2007,hellorockview14,592,32.04%,440xx,OH,< 1 year,0
5500,11/8/2007,1Pogirl,588,15.03%,394xx,MS,10+ years,0
3000,11/8/2007,Denosh,592,11.59%,136xx,NY,10+ years,0
5000,11/8/2007,ttboy,482,13.84%,761xx,TX,1 year,0
20000,11/8/2007,toshmarie,515,10.33%,853xx,AZ,< 1 year,0
20000,11/8/2007,sefrohlich,588,64.09%,598xx,MT,1 year,0
10000,11/8/2007,tlsandoval,618,28.08%,802xx,CO,< 1 year,0
20000,11/8/2007,mrbboyfilosofi,657,45.63%,333xx,FL,< 1 year,0
20000,11/8/2007,rbt0409,647,8.77%,060xx,CT,3 years,0
4000,11/8/2007,purple747,555,22.11%,321xx,FL,8 years,0
5000,11/9/2007,Dizzale,524,24.48%,260xx,WV,< 1 year,0
1000,11/9/2007,mrs_barbie,544,23.37%,432xx,OH,7 years,0
1000,11/9/2007,eltfeaa,592,0%,432xx,OH,1 year,0
6500,11/9/2007,I am in the process of moving out and need money for a security deposit as well as furniture for the apartment. A loan of $6500 would help me in this process.,545,4.01%,089xx,NJ,< 1 year,0
5500,11/9/2007,great_family,439,13.77%,473xx,IN,4 years,0
800,11/9/2007,mike1,595,14.95%,499xx,MI,2 years,0
17000,11/9/2007,lisa yoyo,657,59.20%,338xx,FL,7 years,0
4000,11/9/2007,levy_sh,641,1.55%,320xx,FL,1 year,0
1000,11/9/2007,mikewj76,576,46.06%,320xx,FL,10+ years,0
15000,11/9/2007,Lastchance,600,4.99%,334xx,FL,< 1 year,0
10000,11/9/2007,Peter,611,0%,144xx,NY,8 years,0
2000,11/9/2007,HGB811,474,11.26%,303xx,GA,< 1 year,0
8500,11/9/2007,jblovell,483,5.91%,685xx,NE,4 years,0
8000,11/9/2007,marilee1111,481,26.11%,857xx,AZ,< 1 year,0
1000,11/9/2007,tracil,459,0%,727xx,AR,< 1 year,0
8500,11/9/2007,callen,463,22.97%,685xx,NE,< 1 year,0
8000,11/9/2007,savathens,556,12.62%,303xx,GA,1 year,0
6000,11/9/2007,acolemanou,527,36.62%,731xx,OK,5 years,0
7500,11/9/2007,clairemw000,524,633.60%,295xx,SC,< 1 year,0
500,11/9/2007,spcmcnamee,503,1.71%,109xx,NY,< 1 year,0
7000,11/9/2007,gsleader,539,2.35%,863xx,AZ,10+ years,0
8500,11/9/2007,Semper Paratus,0,0%,334xx,FL,1 year,0
11000,11/9/2007,grivera79,599,36.27%,301xx,GA,5 years,0
5000,11/9/2007,NewJob1,608,0.37%,302xx,GA,10+ years,0
9500,11/9/2007,marcher12,663,34.72%,346xx,FL,4 years,0
3000,11/9/2007,tmdvld2005,533,14.35%,339xx,FL,< 1 year,0
2000,11/9/2007,Ram,491,27.17%,285xx,NC,10+ years,0
2500,11/9/2007,mack19769,558,11.73%,436xx,OH,3 years,0
10000,11/9/2007,nina1,618,2.48%,336xx,FL,< 1 year,0
4000,11/9/2007,PatLaschinger,497,1.54%,993xx,WA,4 years,0
1500,11/9/2007,sons first home,585,20.37%,468xx,IN,5 years,0
7000,11/10/2007,tcameron2,585,13.77%,982xx,WA,< 1 year,0
2000,11/10/2007,tucson_man,434,34.36%,857xx,AZ,8 years,0
6000,11/10/2007,teh2626090,601,27.92%,038xx,NH,< 1 year,0
10000,11/10/2007,Benmac,540,3.98%,454xx,OH,< 1 year,0
6000,11/10/2007,Willy P.,692,14.35%,550xx,MN,< 1 year,0
7000,11/10/2007,linsey080903,497,13.53%,770xx,TX,9 years,0
15000,11/10/2007,jimgriffin,609,1.01%,232xx,VA,10+ years,0
5000,11/10/2007,lampkins,565,0%,761xx,TX,< 1 year,0
7500,11/10/2007,SisnerosCrew,486,0%,871xx,NM,< 1 year,0
5000,11/10/2007,To pay off High Interest Creidt Cards,625,37.61%,945xx,CA,4 years,0
12500,11/10/2007,mrjoe06606,584,13.82%,066xx,CT,< 1 year,0
2500,11/10/2007,countrypickin,526,33.55%,336xx,FL,< 1 year,0
18000,11/10/2007,kleithe,680,27.67%,750xx,TX,2 years,0
1000,11/10/2007,"I would like to get the money to buy a vehicle a man in my complex has,my car I have now is about on its last leg.I also deliver papers in the morning so I need a dependible car.",610,13.30%,980xx,WA,1 year,0
5000,11/10/2007,bigby,643,33.36%,087xx,NJ,10+ years,0
10000,11/10/2007,2bfree,522,27.72%,641xx,MO,1 year,0
8000,11/10/2007,mikulas2,625,16.65%,600xx,IL,2 years,0
3000,11/10/2007,cafemocha1106,628,29.83%,453xx,OH,< 1 year,0
15000,11/10/2007,ajerry15,621,7.03%,420xx,KY,3 years,0
3000,11/10/2007,jlm5687,575,38.40%,087xx,NJ,2 years,0
5000,11/10/2007,jmt,461,6.87%,327xx,FL,2 years,0
6000,11/10/2007,ahill,564,2.04%,010xx,MA,< 1 year,0
5000,11/10/2007,andystow,623,36.73%,531xx,WI,5 years,0
2000,11/10/2007,esesmom,621,10.68%,121xx,NY,1 year,0
14000,11/10/2007,Trager,429,1.31%,282xx,NC,2 years,0
5000,11/10/2007,hindmate,552,12.56%,852xx,AZ,10+ years,0
10400,11/10/2007,MrPowerful,656,0%,127xx,NY,< 1 year,0
5000,11/10/2007,Debt Payback,659,3.36%,089xx,NJ,< 1 year,0
3000,11/10/2007,Carolstar,580,38.14%,960xx,CO,2 years,0
7000,11/10/2007,BackOnTrac,497,25.70%,210xx,MD,< 1 year,0
2500,11/11/2007,Need pc technician certifications,454,5.04%,726xx,AR,5 years,0
12000,11/11/2007,shopgirl785,666,32.48%,660xx,KS,1 year,0
2500,11/11/2007,Jim,659,12.51%,532xx,WI,6 years,0
20000,11/11/2007,elahti,489,0%,548xx,WI,2 years,0
15000,11/11/2007,npersad20,470,0%,280xx,NC,< 1 year,0
8000,11/11/2007,marlopez73,423,27.49%,280xx,NC,4 years,0
2000,11/11/2007,upshaw,,100%,958xx,CA,10+ years,0
3000,11/11/2007,Looking for loan to pay off bills,683,24.21%,320xx,FL,< 1 year,0
10000,11/11/2007,Harvardropout..,717,5.92%,142xx,NY,< 1 year,0
4000,11/11/2007,net03,554,12.61%,322xx,FL,9 years,0
500,11/11/2007,jlowell,551,11.52%,322xx,FL,4 years,0
1000,11/11/2007,luis101,0,0%,463xx,IN,< 1 year,0
12000,11/11/2007,m2mfour,437,30.97%,802xx,CO,4 years,0
2000,11/11/2007,Luz_Muniz89,0,0.69%,120xx,NY,5 years,0
7500,11/11/2007,robert1967,564,15.94%,347xx,FL,< 1 year,0
15000,11/11/2007,mhadi1,611,0%,328xx,FL,1 year,0
10000,11/11/2007,Flyrite609,599,13.72%,082xx,NJ,10+ years,0
15000,11/11/2007,tsmith91,583,29.34%,295xx,SC,< 1 year,0
700,11/12/2007,dany72,636,23.53%,070xx,NJ,2 years,0
10000,11/12/2007,debbski,452,11.56%,852xx,AZ,1 year,0
3000,11/12/2007,Rlamb1968,476,0%,144xx,NY,6 years,0
15000,11/12/2007,dlw,606,15.54%,365xx,AL,1 year,0
15000,11/12/2007,lcamd,720,91.88%,212xx,MD,< 1 year,0
20000,11/12/2007,tiffgiggles00,607,36.04%,104xx,NY,1 year,0
5000,11/12/2007,cc340no,451,6.30%,700xx,LA,1 year,0
15000,11/12/2007,flubes,469,11.10%,017xx,MA,1 year,0
15000,11/12/2007,kbslim,548,32.55%,752xx,TX,2 years,0
10000,11/12/2007,Melinda1234,638,26.28%,841xx,UT,4 years,0
11000,11/12/2007,dinemo,537,29.54%,906xx,CA,3 years,0
5000,11/12/2007,tigger,592,3%,349xx,FL,10+ years,0
6000,11/12/2007,olivias,0,0%,112xx,NY,4 years,0
8000,11/12/2007,tjohnso4,636,41.28%,301xx,GA,2 years,0
22600,11/12/2007,success-08,427,4.55%,330xx,FL,10+ years,0
1500,11/12/2007,Irena,0,0%,283xx,NC,2 years,0
6000,11/12/2007,curtisbjr331,0,8.59%,122xx,NY,5 years,0
1500,11/12/2007,seventhangel,669,27.12%,112xx,NY,4 years,0
5000,11/12/2007,wowoodfah,628,1.47%,598xx,MT,< 1 year,0
1000,11/12/2007,CCat,470,29.68%,100xx,NY,6 years,0
4500,11/12/2007,tinker2710,533,0%,853xx,AZ,< 1 year,0
7000,11/12/2007,hawk4032,522,8.84%,441xx,OH,4 years,0
4500,11/12/2007,Please Help Consolidate My Debt...,599,6.99%,331xx,FL,1 year,0
7000,11/12/2007,money4032,663,45.53%,441xx,OH,5 years,0
15000,11/12/2007,mary,526,4.80%,012xx,MA,10+ years,0
1000,11/12/2007,bulldogs103170,615,22.71%,306xx,GA,7 years,0
5000,11/12/2007,ccnative,591,16.60%,026xx,MA,3 years,0
15000,11/12/2007,Railer1,689,46.30%,238xx,VA,< 1 year,0
5000,11/12/2007,SEEKING HELP,633,46.38%,070xx,NJ,5 years,0
25000,11/12/2007,pebblistone,697,28.03%,111xx,NY,8 years,0
25000,11/12/2007,AkAv8r,693,44.25%,996xx,AK,< 1 year,0
500,11/12/2007,TomSmith,482,16.42%,342xx,FL,1 year,0
21000,11/12/2007,pxlo123,473,6.33%,972xx,OR,< 1 year,0
1500,11/13/2007,lacant6,574,7.92%,210xx,MD,10+ years,0
5000,11/13/2007,JOHNNY69,509,32.16%,072xx,NJ,3 years,0
1500,11/13/2007,jayhawk,435,19.37%,322xx,FL,10+ years,0
4000,11/13/2007,mcall,493,26.16%,474xx,IN,8 years,0
500,11/13/2007,insenceman,516,0.54%,104xx,NY,2 years,0
2500,11/13/2007,fckbthornton,532,4.78%,850xx,AZ,1 year,0
25000,11/13/2007,MORRISLEON,463,0.60%,191xx,NY,6 years,0
6800,11/13/2007,matt9394,436,4.17%,704xx,LA,10+ years,0
8500,11/13/2007,matt3232,535,0%,704xx,LA,10+ years,0
25000,11/13/2007,ukblue1221,664,15.70%,405xx,KY,10+ years,0
8500,11/13/2007,matt3274,542,2.15%,704xx,LA,10+ years,0
5000,11/13/2007,coolman,451,17.45%,802xx,CO,10+ years,0
5000,11/13/2007,todd1227,556,11.75%,704xx,LA,10+ years,0
6000,11/13/2007,casey,637,19.09%,601xx,IN,< 1 year,0
2000,11/13/2007,cory-mia,478,0%,633xx,MO,< 1 year,0
1500,11/13/2007,mcdanielmarkalan,461,10.01%,479xx,IN,1 year,0
1500,11/13/2007,rossgerdes,597,11.49%,549xx,WI,< 1 year,0
3000,11/13/2007,cinnamon,572,13.44%,212xx,MD,3 years,0
3900,11/13/2007,etn3000,655,3.23%,554xx,MN,< 1 year,0
2000,11/13/2007,andreanoel,630,18.96%,347xx,FL,3 years,0
2500,11/13/2007,Tuition Payment,657,4%,301xx,LA,< 1 year,0
3000,11/13/2007,jandretta,626,23.98%,328xx,FL,1 year,0
20000,11/13/2007,Alanj878,0,0%,330xx,FL,3 years,0
10000,11/13/2007,huskerdenton,502,14.92%,782xx,TX,9 years,0
12500,11/13/2007,smchristenson,660,16.49%,778xx,TX,10+ years,0
6000,11/13/2007,pay off auto loan,683,29.44%,300xx,GA,1 year,0
1000,11/13/2007,lisapooh77,636,47.63%,306xx,GA,4 years,0
5000,11/13/2007,har2865,486,2%,303xx,GA,1 year,0
20000,11/13/2007,aeya,619,5.19%,895xx,NV,2 years,0
500,11/13/2007,asvsteve1,490,2.72%,641xx,MO,4 years,0
6800,11/13/2007,thermographer,648,23.98%,112xx,NY,2 years,0
3000,11/13/2007,1953penni,442,7.65%,475xx,IN,3 years,0
5000,11/13/2007,kidwithadream86,482,13.11%,853xx,AZ,< 1 year,0
2000,11/13/2007,buzzard,536,33.03%,448xx,OH,6 years,0
1200,11/13/2007,anarchicluv,604,0%,841xx,UT,6 years,0
3000,11/13/2007,jhonatan2004,528,24.68%,070xx,NJ,1 year,0
1300,11/13/2007,Family Man,513,34.71%,549xx,WI,10+ years,0
25000,11/13/2007,"Jeep loan- $11,000 Two Credit Cards- $2,000 Student Loan- $7,000 Personal Loan- $5,000 ",496,46.85%,035xx,NH,< 1 year,0
10000,11/13/2007,jsamie1377,528,2.40%,070xx,NJ,1 year,0
1500,11/13/2007,Lonestar 3233,670,1.34%,080xx,NJ,< 1 year,0
4000,11/13/2007,tall1,414,0%,376xx,TN,10+ years,0
1000,11/13/2007,saleem,648,60.08%,300xx,GA,6 years,0
10000,11/13/2007,rlb,706,44.47%,799xx,TX,3 years,0
6000,11/13/2007,dogma637,619,8.08%,342xx,FL,5 years,0
10000,11/14/2007,lefty,0,0.75%,631xx,MO,< 1 year,0
12000,11/14/2007,need help1,512,0%,070xx,NJ,10+ years,0
5000,11/14/2007,lucianidj,481,27.60%,809xx,CO,7 years,0
5000,11/14/2007,cpell,653,32.07%,019xx,MA,< 1 year,0
1100,11/14/2007,Taking the CFA Level 1 Exam,589,26.30%,141xx,NY,1 year,0
2000,11/14/2007,Ms. She,496,0%,295xx,SC,1 year,0
5000,11/14/2007,Hersheequeen,521,0.44%,100xx,NY,2 years,0
2000,11/14/2007,Bratt29,517,19.65%,130xx,NY,1 year,0
7500,11/14/2007,ronbarajas,570,39.66%,908xx,CA,10+ years,0
9000,11/14/2007,vimpire,503,60.36%,462xx,IN,3 years,0
5000,11/14/2007,rufusjbw,655,37.36%,660xx,KS,3 years,0
22000,11/14/2007,jackson22,660,30.30%,735xx,OK,4 years,0
4500,11/14/2007,TROMEL,605,9.71%,778xx,TX,10+ years,0
3500,11/14/2007,tpf626,622,0.43%,349xx,FL,5 years,0
5000,11/14/2007,koneal,563,4.83%,154xx,WV,10+ years,0
5500,11/14/2007,TxFamilyMan,530,13.01%,750xx,TX,1 year,0
5000,11/14/2007,serhammie,559,4.62%,080xx,NJ,3 years,0
4000,11/14/2007,snicer,458,27.63%,136xx,NY,5 years,0
25000,11/14/2007,Bucknor,685,42.73%,300xx,GA,10+ years,0
25000,11/14/2007,SFA Financial Group,701,16.50%,774xx,TX,< 1 year,0
22000,11/14/2007,Adolfo Kunz,650,11.79%,750xx,TX,3 years,0
6000,11/14/2007,webRat,695,24.34%,152xx,PA,5 years,0
5000,11/14/2007,JSKERN01,643,31.37%,277xx,NC,3 years,0
3900,11/14/2007,market2u,660,53.84%,473xx,IN,9 years,0
5500,11/14/2007,terrellz,483,14.08%,303xx,GA,7 years,0
13000,11/14/2007,wildchildjen,535,25.47%,532xx,WI,5 years,0
5000,11/14/2007,Rhett78,597,19.34%,337xx,FL,7 years,0
2000,11/14/2007,erynjii,585,22.46%,105xx,NY,< 1 year,0
8000,11/14/2007,dso61,644,53.56%,684xx,NE,< 1 year,0
3000,11/14/2007,robd1178,542,21.33%,532xx,WI,< 1 year,0
7700,11/14/2007,moneyjoy,594,37.05%,980xx,WA,< 1 year,0
10000,11/14/2007,ansari119,493,16.54%,752xx,TX,< 1 year,0
3500,11/14/2007,big daddy,489,25.71%,388xx,MS,10+ years,0
2500,11/14/2007,mel22,442,0.15%,302xx,GA,2 years,0
11350,11/14/2007,precious98466,664,22.36%,984xx,WA,2 years,0
5000,11/15/2007,mm5yn,676,13.12%,302xx,GA,< 1 year,0
10000,11/15/2007,MONEYMAID,465,12.84%,302xx,GA,< 1 year,0
3000,11/15/2007,OPFLEETSIDE,481,21.92%,302xx,GA,5 years,0
5000,11/15/2007,DR 124,479,51.85%,302xx,GA,10+ years,0
1500,11/15/2007,Cheryl B Dugars,535,123.33%,302xx,GA,< 1 year,0
15000,11/15/2007,walt12865,615,30.45%,128xx,NY,4 years,0
25000,11/15/2007,dougwood,690,39.46%,883xx,NM,2 years,0
2000,11/15/2007,jrod7299,602,3.24%,657xx,MO,3 years,0
5000,11/15/2007,KIttie,508,0%,750xx,TX,< 1 year,0
7500,11/15/2007,NITA927,593,24.95%,641xx,MO,4 years,0
3000,11/15/2007,dsantos,551,17.94%,110xx,NY,8 years,0
5000,11/15/2007,amylou,404,0.87%,598xx,MT,5 years,0
10000,11/15/2007,Family,685,0%,463xx,IN,4 years,0
20000,11/15/2007,hYDSYS,672,14.46%,871xx,NM,10+ years,0
2200,11/15/2007,WaywardJeepGuy,624,10.03%,460xx,IN,1 year,0
5000,11/15/2007,U Can Lift My Burdens.,613,15.85%,968xx,HI,3 years,0
10000,11/15/2007,ndrizzo22,630,6.73%,070xx,NJ,10+ years,0
2500,11/15/2007,KiKi,624,58.73%,336xx,FL,5 years,0
1800,11/15/2007,colorckymntns,0,0%,800xx,CO,< 1 year,0
10000,11/15/2007,oms1969,671,35.31%,301xx,GA,1 year,0
1000,11/15/2007,valco247,380,13.20%,713xx,LA,< 1 year,0
5000,11/15/2007,chaser,435,19.15%,363xx,AL,6 years,0
15000,11/15/2007,bksincorp,422,6.41%,080xx,NJ,7 years,0
2625,11/15/2007,LOSTVALLEY5537,547,24.25%,633xx,MO,< 1 year,0
5000,11/15/2007,coppenhagen,465,4.98%,322xx,FL,< 1 year,0
500,11/15/2007,jahmaine05,574,27.83%,841xx,UT,1 year,0
8000,11/15/2007,gicky,563,37.49%,832xx,UT,10+ years,0
10000,11/15/2007,roadrunnerfastcash,725,8.21%,293xx,SC,4 years,0
750,11/15/2007,cost24,550,8.66%,109xx,NY,10+ years,0
25000,11/15/2007,dmark1rm,644,29.04%,554xx,MN,4 years,0
1500,11/15/2007,FLEM3565,586,3.35%,354xx,AL,3 years,0
4000,11/16/2007,srbeeklll,0,1.04%,410xx,KY,2 years,0
10000,11/16/2007,etf,614,9.83%,271xx,NC,< 1 year,0
10000,11/16/2007,Torance,681,16.60%,672xx,KS,1 year,0
25000,11/16/2007,rls,675,20.44%,750xx,TX,4 years,0
10000,11/16/2007,TamIAM,488,19.97%,441xx,OH,< 1 year,0
3500,11/16/2007,Jessica,503,1.33%,461xx,IN,2 years,0
20000,11/16/2007,Chimdoo,530,8.88%,300xx,GA,1 year,0
5000,11/16/2007,faithfully1,437,0.89%,087xx,NJ,5 years,0
6000,11/16/2007,Dinie5,597,30.16%,661xx,KS,10+ years,0
12000,11/16/2007,historyteacher,586,10.96%,850xx,AZ,2 years,0
4500,11/16/2007,morrison8384,553,10.72%,275xx,NC,3 years,0
15000,11/16/2007,jack10303,643,6.48%,103xx,NY,< 1 year,0
7000,11/16/2007,coach b,490,14.40%,081xx,NJ,2 years,0
7000,11/16/2007,patti,559,21.93%,531xx,WI,2 years,0
1000,11/16/2007,phatbaby26,564,4.05%,303xx,GA,1 year,0
7000,11/16/2007,mother40,458,1.95%,081xx,NJ,10+ years,0
1000,11/16/2007,trtaylor,566,1.02%,640xx,MO,1 year,0
2000,11/16/2007,babygirl2007,491,67.76%,334xx,FL,1 year,0
12000,11/16/2007,inijoe,578,2.24%,331xx,FL,10+ years,0
2000,11/16/2007,gamommie,514,0%,305xx,GA,2 years,0
1000,11/16/2007,mtr56,528,0%,211xx,MD,2 years,0
2000,11/16/2007,stephen.bazemore,457,1.96%,280xx,NC,2 years,0
25000,11/16/2007,cvillar,495,19.54%,662xx,KS,10+ years,0
10000,11/16/2007,bear,504,2.36%,337xx,FL,< 1 year,0
5000,11/16/2007,smjerd,508,5.35%,549xx,WI,7 years,0
5000,11/16/2007,jathiel,549,9.54%,934xx,CO,10+ years,0
15000,11/16/2007,consolidating debt,764,14.80%,541xx,WI,< 1 year,0
2500,11/16/2007,happy,601,29.89%,680xx,NE,< 1 year,0
25000,11/16/2007,kemp35,0,0%,330xx,FL,3 years,0
2000,11/16/2007,horse,572,12.13%,807xx,CO,3 years,0
2000,11/16/2007,Consolidation,536,18.99%,335xx,FL,< 1 year,0
800,11/16/2007,jensue73,399,19.30%,616xx,IL,4 years,0
2000,11/16/2007,taz1262,,1.58%,049xx,ME,6 years,0
20000,11/17/2007,richandlinda,518,20.67%,824xx,WY,2 years,0
2000,11/17/2007,tim82ndairborne,537,0%,274xx,NC,1 year,0
13800,11/17/2007,lauren00914,616,20.30%,302xx,GA,2 years,0
5000,11/17/2007,TeacherMom913,566,18.05%,010xx,MA,< 1 year,0
3000,11/17/2007,CAR3,558,3.76%,645xx,MO,< 1 year,0
5400,11/17/2007,Replacing a well used car,724,5.57%,277xx,NC,1 year,0
5000,11/17/2007,stephanie.cookie,458,6.66%,657xx,MO,< 1 year,0
2500,11/17/2007,FlorEl,543,40.72%,853xx,AZ,< 1 year,0
4000,11/17/2007,twebb51,724,34.77%,282xx,NC,10+ years,0
5000,11/17/2007,heart attack aftermath,474,32.62%,370xx,TN,10+ years,0
2500,11/17/2007,niceguy,599,4.33%,363xx,AL,2 years,0
25000,11/17/2007,Education Loan,519,0.60%,104xx,NY,3 years,0
7200,11/17/2007,Paying for education,678,8.17%,983xx,WA,1 year,0
2500,11/17/2007,1dfjohnson,481,0%,462xx,IN,1 year,0
15000,11/17/2007,jla5011,548,27.72%,211xx,MD,3 years,0
10000,11/17/2007,Zyer97,473,5.76%,302xx,GA,2 years,0
5000,11/17/2007,MARKIE MARK,497,18.15%,321xx,FL,3 years,0
3000,11/17/2007,amanda28,451,43.34%,346xx,FL,< 1 year,0
3000,11/17/2007,jm171,546,25.77%,346xx,FL,3 years,0
700,11/17/2007,mz. downing,0,0%,119xx,NY,1 year,0
25000,11/17/2007,quent305,595,12.49%,301xx,GA,< 1 year,0
3000,11/17/2007,justme77,484,32.43%,462xx,IN,2 years,0
7500,11/18/2007,Small Business Loan,418,0.80%,237xx,VA,< 1 year,0
20000,11/18/2007,putty,624,32.63%,300xx,GA,6 years,0
20000,11/18/2007,apmsamv,649,10.13%,864xx,AZ,7 years,0
7500,11/18/2007,GMMM,602,20.73%,647xx,MO,6 years,0
7500,11/18/2007,MJM,615,37.22%,640xx,MO,6 years,0
25000,11/18/2007,goneinc,488,0.60%,021xx,MA,10+ years,0
10000,11/18/2007,Baserat,468,5.88%,462xx,IN,10+ years,0
1000,11/18/2007,mama2kyrra,566,24.74%,401xx,KY,3 years,0
1000,11/18/2007,kyrrasmama,0,2.80%,401xx,KY,< 1 year,0
7500,11/18/2007,scotish,438,18.14%,656xx,MO,10+ years,0
6000,11/18/2007,Unitas27,444,13.85%,129xx,NY,7 years,0
2500,11/18/2007,tiff,436,24.96%,464xx,IN,7 years,0
3000,11/18/2007,lazlog1,478,2.28%,815xx,CO,8 years,0
8100,11/18/2007,glazdham,534,21.15%,385xx,TN,< 1 year,0
1000,11/18/2007,Need money for college,609,2.27%,070xx,NJ,1 year,0
12000,11/18/2007,pat46750,395,0%,467xx,IN,2 years,0
10000,11/18/2007,Al and Lori,502,0%,535xx,WI,10+ years,0
500,11/18/2007,MHARRIS,495,0%,720xx,AR,4 years,0
3000,11/18/2007,cmcconkie,659,5.42%,229xx,VA,2 years,0
2000,11/18/2007,kjenbob,0,11.49%,086xx,NJ,1 year,0
7500,11/18/2007,sidney,661,0.30%,656xx,MO,10+ years,0
5000,11/18/2007,clarence_allen,0,0.80%,303xx,GA,2 years,0
3000,11/18/2007,drennt2004,604,16.76%,704xx,LA,< 1 year,0
10000,11/18/2007,lucia,545,21.12%,067xx,CT,1 year,0
5000,11/18/2007,cpkaiser,646,21.08%,630xx,MO,< 1 year,0
6000,11/18/2007,jverline,568,0%,207xx,MD,< 1 year,0
7425,11/18/2007,Divorce...I Will Make it On my Own.,660,28.62%,650xx,MO,1 year,0
22350,11/18/2007,"We all need help somtimes, I need yours ",674,15.07%,070xx,NJ,2 years,0
2000,11/18/2007,lb8946,494,51.96%,344xx,FL,< 1 year,0
5000,11/19/2007,immart73,506,3%,240xx,VA,4 years,0
10000,11/19/2007,littlebit0118,561,22.33%,275xx,NC,10+ years,0
8500,11/19/2007,moorekim321,650,0%,082xx,NJ,6 years,0
3000,11/19/2007,nymomof3,477,0%,137xx,NY,< 1 year,0
2500,11/19/2007,chanjen77,575,26.64%,631xx,MO,10+ years,0
15000,11/19/2007,Katlyn,614,13.88%,530xx,WI,< 1 year,0
1500,11/19/2007,Ebonism1984,481,5.76%,630xx,MO,2 years,0
2500,11/19/2007,Missnel,505,48.50%,136xx,NY,7 years,0
7500,11/19/2007,gm46368,501,12.56%,463xx,IN,10+ years,0
10000,11/19/2007,mikemike,501,33.20%,327xx,FL,< 1 year,0
2500,11/19/2007,Fatheruv5,588,6.97%,362xx,AL,4 years,0
9000,11/19/2007,CH Construction Services,794,0%,551xx,MN,4 years,0
2000,11/19/2007,evasquez15,576,21.06%,871xx,NM,1 year,0
3000,11/19/2007,AmberMTrahan,511,12.84%,705xx,LA,1 year,0
3000,11/19/2007,reggie1400,529,45.09%,631xx,MO,< 1 year,0
6000,11/19/2007,iwmlisw,0,0%,782xx,TX,< 1 year,0
25000,11/19/2007,Mans_Best_Friend,742,177.93%,801xx,CO,1 year,0
25000,11/19/2007,getmethemoney,602,3.69%,220xx,VA,2 years,0
5500,11/19/2007,Darltk42,568,34.90%,480xx,MI,7 years,0
